SETTLEMENTDATE,REGIONID,RRP
2025/07/01 03:45:00,QLD1,108.09603
2025/07/01 03:50:00,QLD1,102.83062
2025/07/01 03:55:00,QLD1,95.33784
2025/07/01 04:00:00,QLD1,94.73234
2025/06/30 04:05:00,SA1,222.9315
2025/06/30 04:10:00,SA1,178.7
2025/06/30 04:15:00,SA1,175.05
2025/06/30 04:20:00,SA1,175.11128
2025/06/30 04:25:00,SA1,213.59266
2025/06/30 04:30:00,SA1,193.07922
2025/06/30 04:35:00,SA1,174.66106
2025/06/30 04:40:00,SA1,175.98
2025/06/30 04:45:00,SA1,209.69685
2025/06/30 04:50:00,SA1,195.11913
2025/06/30 04:55:00,SA1,180.22939
2025/06/30 05:00:00,SA1,203.15876
2025/06/30 05:05:00,SA1,178.7
2025/06/30 05:10:00,SA1,211.89204
2025/06/30 05:15:00,SA1,244.0
2025/06/30 05:20:00,SA1,244.0
2025/06/30 05:25:00,SA1,192.22062
2025/06/30 05:30:00,SA1,203.7314
2025/06/30 05:35:00,SA1,197.86688
2025/06/30 05:40:00,SA1,202.58886
2025/06/30 05:45:00,SA1,215.04
2025/06/30 05:50:00,SA1,194.069
2025/06/30 05:55:00,SA1,215.04
2025/06/30 06:00:00,SA1,243.84892
2025/06/30 06:05:00,SA1,215.04
2025/06/30 06:10:00,SA1,253.59591
2025/06/30 06:15:00,SA1,249.82208
2025/06/30 06:20:00,SA1,247.03634
2025/06/30 06:25:00,SA1,244.0
2025/06/30 06:30:00,SA1,253.22445
2025/06/30 06:35:00,SA1,209.5054
2025/06/30 06:40:00,SA1,247.69215
2025/06/30 06:45:00,SA1,254.52814
2025/06/30 06:50:00,SA1,255.63138
2025/06/30 06:55:00,SA1,266.38014
